Bedrijfsnaam,Website,Bezoekadres,Postadres,KvK,E-mail,Organisatietype,Specialisatie
NovartisNetherlandsB.V.,http://www.novartis.nl,"Raapopseweg1,6824LZArnhem","Postbus241,6800LZArnhem",36044556,info@novartis.nl,Bedrijf,"Biotechnologie,Farma"
TU/eStrategicAreaHealth,https://www.tue.nl/health,"DeZaale,Eindhoven","Postbus513,MF3.089,5600MB,Eindhoven",51278871,health@tue.nl,Niet bekend,Niet bekend
NXPSemiconductors,http://www.nxp.com,"Hightechcampus60,5656AGEindhoven","Gerstweg2,6534AENijmegen",17070621,frans.widdershoven@nxp.com,Bedrijf,"ICT,Medicaldevices,Research&Development"
SHOCentravoormedischediagnostiek,http://www.sho.nl,"Larensteinselaan26,6882CTVelp","Postbus261,6880AGVelp",54297257,s.jansen@sho.nl,Bedrijf,Diagnostica
InnatossLaboratoriesB.V.,www.innatoss.com,"Kloosterstraat9,5349ABOss","Postbus172,5340ADOss",55711944,info@innatoss.com,Bedrijf,"Consulting,Diagnostica"
GeniumGroupNederland,http://www.genium.nl,"Bijsterhuizen24,6604LKWijchen","Bijsterhuizen2417,6604LKWijchen",11044208,info@genium.nl,Niet bekend,Niet bekend
VNO-NCWMidden,http://www.vno-ncwmidden.nl,"Boogschutterstraat1,7324AEApeldoorn",",",40650351,info@vno-ncwmidden.nl,Netwerkorganisatie,Netwerkorganisatie
Hyperion,http://www.hyperion-consultancy.nl,"Vlasmeersestraat90,5261TCVught","Vlasmeersestraat90,5261TCVught",51583755,info@hyperion-consultancy.nl,Niet bekend,Niet bekend
tBureau,http://tbureau.nl/,"Stationsplein91,5211BM's-Hertogenbosch","Stationsplein91,5211BM's-Hertogenbosch",68770405,info@tbureau.nl,Bedrijf,"Consulting,eHealth"
FlowbiotechBV,http://www.flowbiotech.nl,"Middenstraat42,4153ADBeesd","Middenstraat42,4153ADBeesd",60012048,info@flowbiotech.nl,Bedrijf,Farma
StichtingUnipartnersNijmegen,http://www.unipartners.nl/nijmegen,"ThomasvanAquinostraat2.00.05a,6525GDNijmegen","ThomasvanAquinostraat4,6525GDNijmegen",9174975,nijmegen@unipartners.nl,Niet bekend,Niet bekend
PEXLife,http://www.pexlife.com/,"Schiehavenkade58/60,3024EZRotterdam","Schiehavenkade58/60,3024EZRotterdam",60027290,arjen.huizinga@pexlife.com,Bedrijf,"Businessdevelopment,Consulting,eHealth,ICT"
StudentalentB.V.,http://www.studentalent.nl,"Raamweg19,2596HLDenHaag","Postbus16004,2500BADenHaag",27243369,info@studentalent.nl,Netwerkorganisatie,Netwerkorganisatie
StichtingIZZ,http://www.izz.nl,"ChristiaanGeurtsweg3,7335JVApeldoorn","ChristiaanGeurtsweg3,7335JVApeldoorn",41177414,info@stichtingizz.nl,Bedrijf,Zorgverzekeraar
iPecuniaPatentsBV,https://www.ipecunia.com/,"RijkswegZuid8,6131ANSittard","Postbus593,6160ANGeleen",12064214,info@ipecunia.com,Bedrijf,"Consulting,IPAdvies"
NederlandseOrganisatievoorToegepastNatuurwetenschappelijkOnderzoek(TNO),http://www.tno.nl,"AnnavanBuerenplein1,2595DADenHaag","Postbus3005,2301DALeiden",27376655,wegwijzer@tno.nl,Kennisinstelling,WO
HealthInvestmentPartners,http://www.healthinvestmentpartners.nl,"BarbaraStrozzilaan101,1083HNAmsterdam","BarbaraStrozzilaan101,1083HNAmsterdam",66390605,info@healthinvestmentpartners.nl,Bedrijf,"Financieeladvies,Investeerder"
SMBLifeSciences,http://www.smb-lifesciences.nl/,"Transistorweg5,6534ATNijmegen","Postbus9101HP903,6500HBNijmegen",9219407,Niet bekend,Niet bekend,Niet bekend
SaxionHogescholenEnschede,http://www.saxion.nl,"M.H.Tromplaan28,7513ABEnschede","Postbus70000,7500KBEnschede",38024938,info@saxion.nl,Kennisinstelling,HBO
DyzleServicesB.V.,www.dyzle.com,"Transistorstraat2,1322CEAlmere","Transistorstraat2d,1322CEAlmere",30199353,info@dyzle.com,Bedrijf,"eHealth,ICT"
SeniorPlusMobility,http://www.seniorplusmobility.nl/,"Groesbeeksedwarsweg134,6521DRNijmegen","Groesbeeksedwarsweg134,6521DRNijmegen",65826876,r.degrood@upcmail.nl,Bedrijf,"Gezondheid&Welzijn,Research&Development"
SDBFoundation/SDBInvestment,http://www.sdbfoundation.nl/,"Havenplein14,7411MEDeventer","Havenplein14,7411MEDeventer",41177477,info@sdbfoundation.nl,Bedrijf,"Financieeladvies,Investeerder"
NoviospinB.V.,http://www.noviospin.com,"Noorderpoort45,5916PJVenlo","Noorderpoort45,5916PJVenlo",66212707,info@noviospin.com,Bedrijf,Biotechnologie
GablesystemsBV,http://www.gablesystems.com,"Granaatstraat54,7554TRHengelo","Granaatstraat54,7554TRHengelo",63955466,info@gablesystems.com,Bedrijf,"Medicaldevices,Robotica,Revalidatie"
FundingSolutions(voorheenHezelbizz),www.fundingsolutions.nl,"BergenDalseweg122,6522BWNijmegen","Postbus31126,6503CCNijmegen",10044395,info@fundingsolutions.nl,Bedrijf,Financieeladvies
WenQ,http://www.wenq.nl,"Thijmstraat45,6531CMNijmegen","Thijmstraat45,6531CMNijmegen",9139502,info@wenq.nl,Niet bekend,Niet bekend
KlauwerConsultancy,http://www.klauwerconsultancy.nl,"Grobbestede21,6911BXPannerden","Grobbestede21,6911BXPannerden",62181289,info@klauwerconsultancy.nl,Niet bekend,Niet bekend
MedicalProductionTechnologyEuropeBV,www.mpteurope.com,"Mulderspark9,9351NRLeek","Mulderspark9-1,9351NRLeek",59789530,info@mpteurope.com,Bedrijf,"Consulting,Research&Development,Robotica"
EffectensterB.V.,http://www.effectenster.nl,"Laaressingel61,7534KAEnschede","Laaressingel61,7534KAEnschede",59435631,info@effectenster.nl,Niet bekend,Niet bekend
NovuqareHospitalEquipment,www.novuqare.com,"Kievitsven42,5249JJRosmalen","Kievitsven42,5249JJRosmalen",12031381,info@novuqare.com,Bedrijf,Medicaldevices
LoyensenLoeffNV,http://www.loyensloeff.com/nl-nl/home,"Utrechtseweg165,6862AJOosterbeek","Postbus170,6860ADOosterbeek",24370566,info@loyensloeff.com,Bedrijf,JuridischAdvies
KolibreB.V.(Zorgr),www.zorgr.nl,"Torenallee3,5617BAEindhoven","Torenallee3,5617BAEindhoven",58573224,info@zorgr.nl,Bedrijf,"eHealth,Netwerkorganisatie"
VIRe-careSolutionsBV,http://www.vir.nl,"Wekeromseweg8,6816VSArnhem","Wekeromseweg8A,6816VSArnhem",40480122,info@vir.nl,Bedrijf,"Consulting,ICT,Revalidatie"
LionixInternationalB.V.,http://www.lionix-international..com,"Hallenweg6,7522ALEnschede","Postbus456,7500ALEnschede",8166547,info@lionix-int.com,Bedrijf,"Biotechnologie,Diagnostica,Medicaldevices,Research&Development"
ValueProof,http://www.valueproof.nl/,"Rijksweg81,1411GENaarden","Rijksweg81B,1411GENaarden",32091397,tim.pellens@valueproof.nl,Bedrijf,"Consulting,eHealth,Marketing&communicatieadvies"
FreshIdeaFactory,http://fresh-idea-factory.nl/,"Torenmolenlaan67,7241VLLochem","Torenmolenlaan67,7241VLLochem",55128483,info@fresh-idea-factory.nl,Bedrijf,Medicaldevices
ITB-KwadraatBV,http://www.ITB2.nl,"GroteWoudhuis5,7325WMApeldoorn","GroteWoudhuis5,7325WMApeldoorn",8073394,info@itb2.nl,Bedrijf,"Consulting,ICT"
FutureDiagnosticsBV,http://www.future-diagnostics.nl,"Nieuweweg279,6603BNWijchen","Nieuweweg279,6603BNWijchen",10147063,info@future-diagnostics.nl,Bedrijf,"Diagnostica,Research&Development"
PhilipsMedicalSystemsNederlandB.V.,http://www.philips.com/healthcare,"Boschdijk525,5621JGEindhoven","Postbus80019,5600JZEindhoven",17039420,rik.bakker@philips.com,Bedrijf,Medicaldevices
NovioPonicsB.V.,http://www.noviotech.com,"SintJansweg20,5928Nijmegen","Molenveldlaan	43,6523RJNijmegen",59611642,l.zhou@noviotech.com,Niet bekend,Niet bekend
KplusVorganisatieadviesbureauBV,http://www.kplusv.nl,"Westervoortsedijk73,6827AVArnhem","Postbus60055,6800JBArnhem",9055476,info@kplusv.nl,Bedrijf,"Businessdevelopment,Consulting,Financieeladvies"
GATTTechnologiesBV,http://www.gatt-tech.com/,"Toernooiveld1,6525EDNijmegen","Toernooiveld1,6525EDNijmegen",52767329,info@gatt-tech.com,Bedrijf,"Biotechnologie,Medicaldevices"
Biobioseminars,http://www.biobioseminars.com/,"DeElst1,6700AHWageningen",",",54447631,info@biobioseminars.com,Bedrijf,"Biotechnologie,Research&Development"
MDxHealthResearchB.V.,http://www.mdxhealth.com,"Transistorweg5,6534ATNijmegen",",",9176917,clientservices.eu@mdxhealth.com,Bedrijf,"Biotechnologie,Diagnostica,Farma,Research&Development"
NYtor,http://www.nytor.nl/,"BergenDalseweg199,6522BJNijmegen","BergenDalseweg199,6522BJNijmegen",54450942,info@nytor.nl,Bedrijf,Diagnostica
DirkzwagerAdvocaten&Notarissen,http://www.dirkzwager.nl,"VanSchaeckMathonsingel4,6512ANNijmegen","Postbus55,6500ABNijmegen",9155757,info@dirkzwager.nl,Bedrijf,"IPAdvies,JuridischAdvies"
UsonoB.V.,www.usono.com,"HighTechCampus12,5656AEEindhoven","HighTechCampus12,5656AEEindhoven",67337244,info@usono.com,Bedrijf,Medicaldevices
ScopeOnderzoek,www.scope-onderzoek.nl,"Stationstraat11,4815NCBreda","Stationstraat11B9,4815NCBreda",64421279,info@scope-onderzoek.nl,Bedrijf,"Consulting,Research&Development"
CCDiagnostics,https://cc-diagnostics.com/,"Herestraat106,9711LMGroningen","Zwarteweg21A,9717HNGroningen",66882273,info@cc-diagnostics.com,Bedrijf,"Biotechnologie,Diagnostica,Medicaldevices"
MBILifeSciences&Health,http://www.mbi-lifesciencesandhealth.com/,"UMCUtrechtJuliusAcademie,Broederplein39-43,3703CDUtrecht","Broederplein39-43,3703CDUtrecht",30244197,mbilifesciencesandhealth@umcutrecht.nl,Kennisinstelling,"Ondernemerschap,OnderwijsenTraining,Onderzoek"
Hekkelmanadvocaten&notarissen,http://www.hekkelman.nl,"Oranjesingel39,6511NNNijmegen","Postbus1094,6501BBNijmegen",9170462,advocatuur@hekkelman.nl,Bedrijf,"IPAdvies,JuridischAdvies"
FourmoreInnovation,http://www.fourmore.eu,"Ploegstraat169,6532ABNijmegen","Ploegstraat169,6532ABNijmegen",60847611,thijs@fourmore.eu,Niet bekend,Niet bekend
GoClinici.o.,,"Transistorweg7,6534ATNijmegen","Transistorweg7B,6534ATNijmegen",67478247,artur.steffen@medlango.com,Bedrijf,eHealth
RabobankRijkvanNijmegen,http://www.rabobank.nl/rijkvannijmegen,"KeizerKarelplein1,6511NCNijmegen","Postbus144,6500ACNijmegen",10011016,info@rijkvannijmegen.rabobank.nl,Bedrijf,Financieeladvies
Valuepack,http://www.valuepack.nl,"DeVlotkampweg4,6545AGNijmegen","DeVlotkampweg4,6545AGNijmegen",9183346,info@valuepack.nl,Bedrijf,"Farma,Medicaldevices"
CentrumvoorZwangerschapenGeboorteB.V.(CVKK),www.cvzg.nl,"Torenlaan19,3742CRBaarn","Torenlaan19,3742CRBaarn",62052861,info@cvzg.nl,Niet bekend,Niet bekend
VRmaster,http://www.vrmaster.co,"Klokgebouw144-3,5617AB",",",9468057,Niet bekend,Niet bekend,Niet bekend
SmartBridgei.o.,www.smartbridgegroup.com,"Transistorweg7,6534ATNijmegen","Transistorweg7B,6534ATNijmegen",68621744,hua@smartbridgegroup.com,Bedrijf,eHealth
BioMedElementsB.V.,www.biomed-elements.com,"Toernooiveld1,6525EDNijmegen","Toernooiveld100,6525ECNijmegen",66732204,info@biomed-elements.com,Bedrijf,Research&Development
FocusCuraB.V.,http://www.focuscura.nl,"Odijkerweg1,3972NEDriebergen-Rijsenburg","Odijkerweg1,3972NEDriebergen-Rijsenburg",30206773,secretariaat@focuscura.nl,Bedrijf,"eHealth,ICT,Medicaldevices"
NewHealthCollectiveB.V.,www.newhealthcollective.nl,"Regulusweg5,2516ACDenHaag","Regulusweg5,2516ACDenHaag",58849092,info@newhealthcollective.nl,Bedrijf,"Consulting,eHealth"
MicroSureBV,www.microsure.nl,"DenDolech2,5612AZEindhoven","DenDolech2GEM-Z004,5612AZEindhoven",65436849,info@microsure.nl,Bedrijf,"Medicaldevices,Robotica"
StedendriehoekInnoveert,http://www.stedendriehoekinnoveert.nl,"Ecofactorij18,7325WCApeldoorn","Postbus10209,7301GEApeldoorn",8185127,sec@stedendriehoekinnoveert.nl,Netwerkorganisatie,Netwerkorganisatie
MedAngelB.V.,http://medangel.co/,"NovioTechCampus,Transistorweg5,6534ATNijmegen","Transistorweg5,6534ATNijmegen",855826721,amin@medangel.co,Bedrijf,Niet bekend
ChristelijkeHogeschoolEde,http://www.che.nl,"OudeKerkweg100,6717JSEde","Postbus80,6710BBEde",41052188,info@che.nl,Kennisinstelling,HBO
Stichtingi3B,http://www.i3b.org,"NieuweKanaal5,6709PAWageningen","Postbus268,6700AGWageningen",55396704,info@i3b.org,Netwerkorganisatie,"Businessdevelopment,Netwerkorganisatie,Research&Development"
DCDEurope,http://www.dcdeurope.com,"Esp210,5633ACEindhoven","Esp210,5633ACEindhoven",9116113,info@dcdeurope.com,Bedrijf,Medicaldevices
RelitechB.V.,http://www.relitech.nl,"VanSiburgstraat34,3863HWNijkerk","VanSiburgstraat34,3863HWNijkerk",39072517,jeroen.van.dongen@relitech.nl,Bedrijf,"ICT,Medicaldevices,Research&Development"
NoaberFoundation,http://www.noaber.com,"Dorpstraat14,6741AKLunteren","Postbus20,6740AALunteren",51668874,info@noaber.com,Netwerkorganisatie,"Businessdevelopment,Netwerkorganisatie"
MercatorIncubatorNijmegen,http://www.mercatorincubatornijmegen.nl,"Toernooiveld300,6525ECNijmegen","Toernooiveld300,6525ECNijmegen",9109354,info@mercatorincubatornijmegen.nl,Bedrijf,Businessdevelopment
PNOConsultants,http://www.pnoconsultants.nl,"LaanvanZuidHoorn15,2289DCRijswijk","LaanvanZuidHoorn15,2289DCRijswijk",6054870,lian.vanamerongen@pnoconsultants.com,Bedrijf,"Consulting,Financieeladvies"
TechnolutionB.V.,http://www.technolution.eu/,"BurgemeesterJamessingel1,2803WVGouda","Postbus2013,2800BDGouda",29031050,info@technolution.eu,Bedrijf,"ICT,Medicaldevices,Research&Development"
ImplementationIQ,http://www.implementation-iq.nl,"Zandweg116,3454JZDeMeern","Zandweg116B,3454JZDeMeern",52095452,info@implementation-iq.nl,Bedrijf,"Businessdevelopment,Consulting"
4CCreativeCadCamConsultants,http://www.4cccc.nl,"Meerstraat79,7815XBEmmen","Meerstraat79,7815XBEmmen",10156895,info@4cccc.nl,Bedrijf,"Consulting,eHealth,Medicaldevices,Robotica"
Fintomar,http://www.fintomar.nl,"Bellefleurgaarde34,3824ZDAmersfoort","Bellefleurgaarde34,3824ZDAmersfoort",60866535,info@fintomar.nl,Niet bekend,Niet bekend
StartupDelta,http://www.startupdelta.org,"JohanHuizingalaan763A,1066VHAmsterdam","JohanHuizingalaan763A,1066VHAmsterdam",SUD,info@startupdelta.org,Netwerkorganisatie,Netwerkorganisatie
GezondheidscentrumHonn,www.gezondheidscentrumhonnee.nl,"VanHorneplein3,6085CZHorn(Leudal)","VanHorneplein3,6085CZHorn(Leudal)",14123393,info@gezondheidscentrumhonnee.nl,Niet bekend,Niet bekend
HogeschoolvanArnhemenNijmegen,http://www.han.nl,"Ruitenberglaan31,6826CCArnhem","Postbus5171,6802EDArnhem",9091785,info@han.nl,Kennisinstelling,HBO
Growtivity,http://www.growtivity.com/,"WillemFenengastraat4C,1096BNAmsterdam","WillemFenengastraat4C,1096BNAmsterdam",634770458,erik.koridon@growtivity.com,Bedrijf,"DesignThinking,e-healthsolutions"
NLInvesteertB.V.,http://www.nlinvesteert.nl,"Asserwijk33,9406XJAssen","Asserwijk33,9406XJAssen",61387932,info@nlinvesteert.nl,Bedrijf,"Financieeladvies,Investeerder"
Allerzorg,www.allerzorg.nl,"Kasteel4,3441BZWoerden","Postbus2136,3440DCWoerden",33133450,info@allerzorg.nl,Zorginstelling,"Ouderenzorg,Thuiszorg"
DHLSupplyChain,www.dhl.com,"Achtsewegnoord30-36,gebouwA,5651GGEindhoven","Achtsewegnoord30-36,gebouwA,5651GGEindhoven",24168570,fred.westdijk@dhl.com,Bedrijf,Bedrijf-Farma|Bedrijf-Gezondheid&welzijn|Bedrijf-Medicaldevices
ZiekenhuisgroepTwente,https://www.zgt.nl,"Zilvermeeuw1,7609PPAlmelo","Postbus7600,7600SZAlmelo",809520060,k.peters@zgt.nl,Zorginstelling,Niet bekend
E-comvideoB.V.,http://www.e-comvideo.com,"Welgelegenlaan21,3971HLDriebergen","Welgelegenlaan21,3971HLDriebergen",61141070,jp.fonteijn@e-comvideo.com,Bedrijf,"Consulting,eHealth,Marketing&communicatieadvies"
TheeNoseCompany,http://www.eNose.nl,"Industrieweg85,7202CAZUTPHEN","Industrieweg85,7202CAZUTPHEN",57490716,info@enose.nl,Bedrijf,"eHealth,Medicaldevices"
StichtingLivio,http://www.livio.nl,"Boulevard1945460,7511ALEnschede","Postbus448,7500AKEnschede",8122202,jvdbiggelaar@livio.nl,Zorginstelling,Ouderenzorg
HealthEnvironmentSolutionsBV,www.relaxmaker.com,"Lintelerweg60,7556PDHengelo(O)","Lintelerweg60,7556PDHengelo(O)",67496520,info@relaxmaker.com,Bedrijf,Gezondheid&welzijn
SynappzMobileHealth,http://www.synappz.nl,"Dwarsweg15,5301KBZaltbommel","Hazelaarlaan8,5342HLOss",53188535,info@synappz.nl,Bedrijf,"Consulting,eHealth,ICT"
HappySenso,www.happysenso.com,"Kemphaanplein21,6883DXVelp","Kemphaanplein21,6883DXVelp",67135013,info@happysenso.com,Bedrijf,Gezondheid&Welzijn
PostNLPakkettenB.V.,http://www.postnl.nl/zakelijke-oplossingen/logistieke-oplossingen/,"Siriusdreef42-60,2132WTHoofddorp","Postbus3090,2130KBHoofddorp",34337145,info@postnl.nl,Bedrijf,Businessdevelopment
StichtingNationaalPlatformVerzuimenLetselschade,www.npvl.nl,"Haarlemmerstraat30,2181HCHillegom","Haarlemmerstraat30,2181HCHillegom",63916789,info@npvl.nl,Netwerkorganisatie,Netwerkorganisatie
Symax(MeXtra),http://www.symax.nl,"Ridderstraat27,6511TMNijmegen","Ridderstraat27,6511TMNijmegen",9110678,info@symax.nl,Bedrijf,"eHealth,ICT"
ITECMedicalB.V.,www.itecmedical.com,"Institutenweg25,7521PHEnschede","Institutenweg25A,7521PHEnschede",57722285,info@itecmedical.com,Bedrijf,Medicaldevices
ZentisMedicalB.V.,http://www.zentis.nl,"BoulevardHeuvelink106,6828KTArnhem","Postbus2092,6802CBArnhem",63651513,richardpost@zentis.nl,Bedrijf,"ICT,Medicaldevices"
D2GOICTClouddiensten,https://www.d2go.nl,"Tullekensmolenweg17,7361EN",",",63037297,info@d2go.nl,Niet bekend,Niet bekend
EDPPatentAttorneysB.V.,http://www.edpip.nl,"Bronland12,6708WHWageningen","Bronland12E,6708WHWageningen",52194795,ellens@edpip.nl,Bedrijf,"Consulting,ICT,IPAdvies"
StimpleConsultancy,http://www.stimple.nl,"Saturnusstraat53,6543XENijmegen","Saturnusstraat53,6543XENijmegen",62255657,rutger.leer@stimple.nl,Niet bekend,Niet bekend
Rhythm,http://www.rhythm.nl,"Houtsingel55,2719Zoetermeer","Postbus75,2700ABZoetermeer",61250600,bart.veltman@rhythm.nl,Niet bekend,Niet bekend
SpieringsMedischeTechniekB.V.,http://www.spierings.biz,"BergenDalseweg199,6522BJNijmegen","BergenDalseweg199,6522BJNijmegen",9127226,info@spierings.biz,Bedrijf,Medicaldevices
LavoisierBV,http://www.lavoisier.nl,"Zernikepark16,9747ANGroningen","Zernikepark16,9747ANGroningen",1167719,info@lavoisier.nl,Niet bekend,Niet bekend
MindrayMedical,http://www.mindray.com,"DrsW.vanRoyenstraat8,3871ANHoevelaken","Postbus26,3870CAHoevelaken",34280223,info.nl@mindray.com,Bedrijf,Medicaldevices
Kroodle,https://kroodle.nl/nl,"Saturnusstraat60-U48,2516AHDenHaag","Saturnusstraat60,2516AHDenHaag",27085000,contact@kroodle.nl,Bedrijf,"Businessdevelopment,ehealth,gezondheid&welzijn,ICT"
Vari-Stepp,http://www.vari-stepp.com,"Philipsenstraat1,5371CNRavenstein","Postbus111,5370ACRavenstein",55140572,info@vari-stepp.com,Bedrijf,"Gezondheid&Welzijn,Medicaldevices"
StichtingMilo,www.stichtingmilo.nl,"DekenBaekersstraat10,5482JHSchijndel","Postbus217,3440AEWoerden",17208147,info@stichtingmilo.nl,Zorginstelling,Gehandicaptenzorg
GemeenteArnhem,https://www.arnhem.nl/,"Koningsstraat38,6811DGArnhem","Postbus9029,6800ELArnhem",9214908,gemeente@arnhem.nl,"Overheid,gemeente",Niet bekend
Innovacare-eHealth,http://www.innovacare-ehealth.com	,"Pauwlaan4,5613CHEindhoven","Pauwlaan4,5613CHEindhoven",62493248,pieter.van.warmerdam@innovacare-ehealth.com,Niet bekend,Niet bekend
Pazio(UMCUtrecht),http://www.pazio.nl,"Groenekanseweg,3732AGDeBilt","Groenekanseweg70,3732AGDeBilt",30139053,info@pazio.nl,Bedrijf,"eHealth,AcademischMedischCentrum"
Z-NetwerkenNederland,http://www.z-netwerken.nl/,"Landzichtweg66,4105DPCulemborg",,9177500,gjvochten@z-netwerken.nl,Bedrijf,Zorgverbinders
SintMaartenskliniek,http://www.maartenskliniek.nl,"Hengstdal3,6574NANijmegen","Postbus9011,6500GMNijmegen",41055111,info@maartenskliniek.nl,Zorginstelling,"Paramedischezorg,Revalidatie"
PSPSExport&InvestmentServices,www.pspsconsultants.nl,"Bankaplein3,2585EVDenHaag","Bankaplein3,2585EVDenHaag",27180398,info@pspsconsultants.nl,Bedrijf,"Businessdevelopment,Consulting"
In.Control!B.V.,http://www.in-ctrl.biz/,"Bogardeind219,5664EGGeldrop","Postbus247,5660AEGeldrop",63763974,m.verlegh@in-ctrl.de,Bedrijf,"Consulting,Financieeladvies"
"ICARADekkerswald,gebouwDeKentering",http://www.icara.nl/,"Nijmeegsebaan29,6561KENijmegen","Postbus9011,6500GMNijmegen",54246946,info@icara.nl,Zorginstelling,Revalidatie
YachtBV,www.yacht.nl,"Diemermere25,1112TCAmsterdamZuidoost","Postbus12600,1100APAmsterdamZuidoost",62880942,mieske.lieuwen@yacht.nl,Bedrijf,"Financieeladvies,ICT,Netwerkorganisatie"
Accon-avmGroepB.V,http://www.acconavm.nl/,"Meander725,6825MEArnhem","Postbus5090,6802EBArnhem",9114594,info@acconavm.nl,Bedrijf,Financieeladvies
Radboudumc,http://www.radboudumc.nl,"GeertGrooteplein25,6525GANijmegen","Postbus9101,huispostnummer,6500HBNijmegen",41055629,john.schalken@radboudumc.nl,"Zorginstelling,academischmedischcentrum",topklinischeentopreferentezorg
TaskForceHealthCareTFHC,http://www.tfhc.nl,"PrinsesMargrietplantsoen33,2595AMDenHaag","PrinsesMargrietplantsoen33,2595AMDenHaag",2719781,info@tfhc.nl,Netwerkorganisatie,Landelijk
LunetZorg,http://www.lunetzorg.nl,"Croy5,5653LCEindhoven","Postbus270,5600AGEindhoven",17144573,raadvanbestuur@lunetzorg.nl,Zorginstelling,"Jeugdzorg,Ouderenzorg"
StichtingUnitedEconomy,http://www.unitedeconomy.nl/,"Ulvenhoutstraat60,6843RGArnhem","Ulvenhoutstraat60,6843RGArnhem",68974957,info@unitedeconomy.nl,Netwerkorganisatie,betaalmiddel
APSTherapy,http://www.apstherapy.nl/,"Ressenerbroek20,6666MRHeteren","Ressenerbroek20A,6666MRHeteren",9161580,info@apstherapy.com,Bedrijf,Medicaldevices
RenalTrackeri.o.,www.renaltracker.com,"Transistorweg7,6534ATNijmegen","Transistorweg7B,6534ATNijmegen",67427391,kirby@binayao.com,Bedrijf,eHealth
Beacon,http://www.beacon.nl,"Breullaan1,3971NGDriebergen-Rijsenburg","Breullaan1E,3971NGDriebergen-Rijsenburg",37079378,mail@beacon.nl,Niet bekend,Niet bekend
STARoDub,www.starodub.nl,"Dorpstraat28,5391AWNuland",",5390ABNuland",60766743,info@starodub.nl,Bedrijf,"Biotechnologie,Consulting,Farma"
VanBredaB.V.,http://www.vanbreda.nl,"Mercuriusweg21,6971GVBrummen","Postbus114,6970ACBrummen",8032786,s.vanwerven@vanbreda.nl,Bedrijf,"Domotica,ICT"
BeSureHealthcareB.V.,http://besure.online/,"LouisCouperusplein2,2514HPDenHaag","LouisCouperusplein2,2514HPDenHaag",65699432,info@besure.online,Bedrijf,"Businessdevelopment,eHealth"
StudioSpaen,http://www.explicare.media,"Stationsplein26,6512ABNijmegen","Stationsplein26,6512ABNijmegen",12895202,bernhard@explicare.media,Bedrijf,filmsenanimatiesvoordemedischesector
StichtingLucrum,http://www.lucrum.nl/,"JosinkEsweg8,7545PNEnschede","JosinkEsweg8,7545PNEnschede",8084612,annette.blok@lucrum.nl,Netwerkorganisatie,Niet bekend
IDLabsArt&Technology,http://www.eye-sense.com,"NovioTechCampus,gebouwA,Transistorweg7b,6534ATNijmegen","RockstartAccelerator,NovioTechCampus,gebouwA,Transistorweg7b,6534ATNijmegen",,ahmed@id-labs.org,Bedrijf,Niet bekend
InzentizBV,http://www.inzentiz.nl,"BoulevardHeuvelink106,6828KTArnhem","BoulevardHeuvelink106,6828KTArnhem",61927090,info@inzentiz.nl,Bedrijf,"eHealth,ICT,Medicaldevices,Research&Development"
Eppix,http://www.eppix.com,"Pascalweg6,6662NXElst","Pascalweg6,6662NXElst",9199361,info@eppix.com,Niet bekend,Niet bekend
Zorgfunders,http://www.zorgfunders.nl,"H.KamerlinghOnnesweg80,1402ELBussum","H.KamerlinghOnnesweg80,1402ELBussum",64600939,info@zorgfunders.nl,Bedrijf,"Consulting,Financieeladvies,Investeerder"
GemeenteUden,http://www.uden.nl,"Markt145,5401EJUden","Postbus83,5400ABUden",17279334,postbus83@uden.nl,Overheid,Gemeente
TicTagHoldingB.V.(profileringisKudoos),http://www.kudoos.nl,"SintAnnastraat50,6524GENijmegen","SintAnnastraat50,6524GENijmegen",64602915,pieter@kudoos.nl,Bedrijf,ICT
Sleep.ai,http://sleep.ai/,"NovioTechCampus,gebouwA,Transistorweg7,6534ATNijmegen","Transistorweg7,6534ATNijmegen",60986719,a.linssen@sleep.ai,Bedrijf,Niet bekend
VanEssenPatentB.V.,vanessenpatent.nl,"AgroBusinessPark50,6708PWWageningen","AgroBusinessPark50,6708PWWageningen",56164319,mail@vanessenpatent.nl,Bedrijf,"Consulting,IPAdvies"
Siza,http://www.siza.nl,"Kemperbergerweg139,6816RPArnhem","Postbus532,6800AMArnhem",9103844,info@siza.nl,Zorginstelling,Gehandicaptenzorg
Carintreggeland,http://www.carintreggeland.nl/,"Boortorenweg20,7554RSHengelo","Postbus506,7550AMHengelo",41027001,t.furtadoplacido@carintreggeland.nl,Zorginstelling,"Ouderenzorg,Paramedischezorg,Revalidatie"
BrocacefGroep,http://www.brocacefgroep.nl,"Straatweg2,7418CRMaarssen","Postbus5,3600AAMaarssen",30122110,info@brocacefgroep.nl,Bedrijf,"eHealth,Farma"
Zorgobligatie.nl,http://www.zorgobligatie.nl,"Seinstraat16,1223DADeBilt","ParkArenberg115,3731ERDeBilt",61885371,contact@zorgobligatie.nl,Bedrijf,"Financieeladvies,JuridischAdvies"
ArbolHealthcareRealEstate,http://www.arbolbv.nl,"DeHoef98,5242CNRosmalen","DeHoef98,5242CNRosmalen",64396479,rm@arbolbv.nl,Bedrijf,"Bouwenelektrotechniek,Consulting,Financieeladvies"
